,index,clean,topic_number,lda_score,topic_top_words
20,20,a great look back at at idaho native american tribes in number idpol via ktvb httptcojsxswvpdpv,7,0.4777965545654297,number that last health help your america today first would
21,21,otd in number american astronaut neil armstrong stepped off the lunar landing module eagle and walked on the surface of the moon,7,0.6999238133430481,number that last health help your america today first would
22,22,rt if you agree its time to actonclimate change  õ more info on the released today at httptcosdcnkyudvj,1,0.6999257206916809,great that time obamacare number today health student american find
23,23,we will vote on the working families flexibility act would you like the flexibility to choose how youre compd for overtime yourtime,7,0.7749722003936768,number that last health help your america today first would
24,24,reminder next week my office will be holding mobile office hours in sachse and wylie learn more httpttxnumber,2,0.6999579668045044,bill today week congress number country plan that news border
25,25,this wkûªs number min video is on how expanding medicaid in wv will help so many families get affordable health care httptcovdumxnumberrnumberxnumber,7,0.8499765992164612,number that last health help your america today first would
26,26,thinking of all those affected by the severe weather today especially in oklahoma stay safe,9,0.7749646902084351,great forward number make today read your state take that
27,27,remember bill he and his friends are stuck on senatorreids desk numberjobs httpt,2,0.5499852895736694,bill today week congress number country plan that news border
28,28,slashing amtrakûªs funding by number at a time of increasing ridership will hurt paûªs economy httptcodqtbbksslg httpstconumberynumberigwxwnr,1,0.6999178528785706,great that time obamacare number today health student american find
29,29,american energy production is creating jobs holding prices down and promoting energy independence httptcopwnumbercdxrhir,0,0.7749689817428589,watch support your number town talk thank check that protect
30,30,obamacare spawning a new concept medical homelessness httptcommupzzkmqj,1,0.6999645829200745,great that time obamacare number today health student american find
31,31,must read from marcthiessen kidnapped libyan prime minister pays the price for an obama leak httpt,3,0.8199752569198608,number that today obamacare obama join right school president your
32,32,delaying or refusing to vote to renewui has real life consequences for numbernumber million americans httptcosrprczhnumberdg httptcofyzwgvwkxz,7,0.428602397441864,number that last health help your america today first would
33,33,in his office in the uscapitol senator mcconnell congratulated amp welcomed senatorelect bill cassidy to the senate httptcofyzynumberddzp,2,0.6999914050102234,bill today week congress number country plan that news border
34,34,houseofcards if you donûªt like long island wine i suggest giving flxwinecountry or niagwinetrail wines a try,5,0.5133693814277649,time week today that staff state meet community visit year
35,35,six enrolled on health site on day number via politico trainwreck httptcongnumberozrnumberpab,7,0.6999690532684326,number that last health help your america today first would
36,36,in federal funds will help relieve congestion around ftmeademd more httptcobiopnumberxnumberhyx,4,0.6999477744102478,work today they that number great would congress back must
37,37,job well done by the members of the sc house of representatives who voted down medicaid expansion yesterday scnews,4,0.7749847173690796,work today they that number great would congress back must
38,38,gearing up for coffee w constituents this morning at d amp ks gretna cafe at number be sure to stop bylooking forward to speaking w folks,9,0.819972574710846,great forward number make today read your state take that
39,39,askgeorge has been a dedicated public servant amp his leadership on edworkforcedems will be missed i wish him the best in retirement,3,0.5336305499076843,number that today obamacare obama join right school president your
40,40,florida is tale of what went right with president barack obamas health care overhaulû despite gop opposition httptcobhsacunumberwje,8,0.8874660730361938,today help president great good obama live health work research
41,41,if you are in dc tomorrow amp want to makegovernmentwork join us problemsolvers in showing america that some of us are here to fixnotfight,7,0.4321182370185852,number that last health help your america today first would
42,42,fl delegation shining spotlight on va health care in sunshine state httptcocdeexucnumbercnumber,6,0.7749348282814026,your care american today access best read health that give
43,43,meeting the press in jerusalem with grahamblog israel httptcofibhbopswh,2,0.699964702129364,bill today week congress number country plan that news border
44,44,video of my speech on house floor rejecting gopbudget that cuts jobs in wi and turns medicare into a voucher httptcotitixbrfnumberc,3,0.5648651123046875,number that today obamacare obama join right school president your
45,45,what other options are there for raising billion with such a negligible impact on middleclass americans and main street businesses,3,0.5178318619728088,number that today obamacare obama join right school president your
46,46,thanks to li farm bureau for hosting me to speak directly with farmers about issues most important to them httptcottbdljimjd,1,0.6999688744544983,great that time obamacare number today health student american find
47,47,for number years the americans with disabilities act has been opening doors for tens of millions of americans httptcotezfwznumberisnumber,7,0.5499491095542908,number that last health help your america today first would
48,48,is that delight or terror mt lyndawoolard can u see my delight when cory taught me how number take a selfie in yesterday httptcogjdnumberpmcmoy,7,0.8199688792228699,number that last health help your america today first would
49,49,rt asnews basic science is a riskier investment compared with applied research but one with larger potential payoffs oped httpû,8,0.819982647895813,today help president great good obama live health work research
50,50,promising fanniemae is paying back more to us taxpayers reinforces number yrs after crash we need gsereform to help prevent another bailout,3,0.887474536895752,number that today obamacare obama join right school president your
51,51,kxl oil export strategy makes us a middle man amp worsens climatechangesenate shld reject it httptcoznumberfihvgcko httptcopnumberpknumbergfwnumberr,7,0.699991762638092,number that last health help your america today first would
52,52,wtvwtv report mcconnell sponsors sunscreen innovation act playlist httptkentucky,2,0.4249982535839081,bill today week congress number country plan that news border
53,53,we need to work together to find real solutions to fixthedebt before thecankicksback httptconumberhxcsgtnnumber,4,0.8199693560600281,work today they that number great would congress back must
54,54,congrats to the coleg last day of session,7,0.6999401450157166,number that last health help your america today first would
55,55,demandarìá obama un recuento en venezuela creo q deberìa lee mi carta y tweet whitehouse para decirle lo q piensas httptcowrhmjlbkzh,3,0.5499354600906372,number that today obamacare obama join right school president your
56,56,as repjoegarcia says this isnt everything each side wants but is a point for reasonable bipartisan support to fix the broken system,0,0.849979043006897,watch support your number town talk thank check that protect
57,57,icymi i spoke with wolfblitzer tonight about the sonyhack amp north korea httptcoprvjknumbernbnumberc,8,0.39145520329475403,today help president great good obama live health work research
58,58,hosting the group today on the hill strengthening connections with co leaders on national defense httpt,3,0.699962854385376,number that today obamacare obama join right school president your
59,59,looking fwd to thirteensoldiers book signing tomorrow changinghands bookstore in tempe more info httptcotvuwinumberxbuz arizona,3,0.38329556584358215,number that today obamacare obama join right school president your
60,60,today marks the numberth time in number years that pres obama missed the legal deadline to submit his budget plan httptcorivwkvgnumber requireaplan,3,0.8999726176261902,number that today obamacare obama join right school president your
61,61,come get help wfed agencies at mobile office hrs th numberamnumber acacia library e townley ave phx httptconumberjgojkirc,1,0.413347452878952,great that time obamacare number today health student american find
62,62,the obama economy just isnûªt cutting it for hardworking americans  õ httptcoyaguzrvjnumberi,3,0.5499295592308044,number that today obamacare obama join right school president your
63,63,great to see ft monroe authority ex dir oder dr wagner amp dr koch at the state of the region presentation in hpt httptcodtpxkjwbsi,6,0.4701634347438812,your care american today access best read health that give
64,64,joining the foxmorningnews in roanoke just after numberam hope youll tune in rke,6,0.5499197244644165,your care american today access best read health that give
65,65,rt jaketapper pentagon sgt stephen new number of bartlett tn died july number in bagram after unit was attacked by small arms fire httpû,3,0.8499876260757446,number that today obamacare obama join right school president your
66,66,dod secy chuck hagel reportedly in charge of bergdahl exchange claimed he doesnt know today via freebeacon httpstcotlimgnumberaslt,1,0.7749572992324829,great that time obamacare number today health student american find
67,67,can it be any clearer lerner and irs were covering their tracks httptcocnumberpnumbernsokpnumber,0,0.10000000149011612,watch support your number town talk thank check that protect
68,68,hear my recent discussion on syria with irelandûªs rtenews begins at numbernumber httptcovkeyereujnumber,7,0.77497798204422,number that last health help your america today first would
69,69,rt to tell president obama the buck stops with him httptconnumbertnumberwxcn irs irsscandal benghazi,8,0.7749795913696289,today help president great good obama live health work research
70,70,must read how to get a raise at mcdonaldûªs haroldmeyerson washingtonpost httptcozhnumbercvanumbertxz strikefastfood,6,0.6999473571777344,your care american today access best read health that give
71,71,the number of people signing up for health insurance continues to increase,7,0.6999698281288147,number that last health help your america today first would
72,72,rt househomeland icymi chairman mccaulpressshop on cbsthismorning on the boston bombing investigation and yesterdays hearing httpû,0,0.10000000149011612,watch support your number town talk thank check that protect
73,73,thanks to mayornoak and willcounty larry walsh for joining me lewisuniversity airport for todays good news httptcotxstnumberjgjel,2,0.774976909160614,bill today week congress number country plan that news border
74,74,thoughts amp prayers are w the families of the number innocent israeli teens abbas must denounce terrorism amp bring those responsible to justice,7,0.7749428153038025,number that last health help your america today first would
75,75,president obama wanted number things on gun control ban assault weapons limit magazine sizes and expand background checks hell lose all number,3,0.9181703329086304,number that today obamacare obama join right school president your
76,76,happening now ways amp means hearing w irs commissioner koskinen tune in to httptcounumbercjetnumberoml to hear my question re aca tax concerns,1,0.37887272238731384,great that time obamacare number today health student american find
77,77,dont forget to cast your vote flnumber congressional art competition winner will hang in us capitol httpstcohrhzbbginumberw sayfie,8,0.5850844979286194,today help president great good obama live health work research
78,78,just about to join seanhannitys radio show at about numberet listen live httptcobwxapnumberkjkv,4,0.8199623823165894,work today they that number great would congress back must
79,79,senate passes vawa reauthorization in vote of numbernumber,7,0.5499224662780762,number that last health help your america today first would
80,80,attending the state of the union httptconkfjfwzz,9,0.6999731063842773,great forward number make today read your state take that
81,81,im on the house floor to manage the rule for the house gop plan to keep govt open stop obamacare amp protect troops httptconumberplgqhxnumbergnumber,8,0.4900115132331848,today help president great good obama live health work research
82,82,was an honor amp a privilege to visit amp thank wyoguard troops stationed in bahrain this numberth of july weekend httptcorxnumberrdulmyx,5,0.699938952922821,time week today that staff state meet community visit year
83,83,senate will be done but mess inhouserepublican hardliners block strategy to avoid shutdown washingtonpost httptcoarxkbenumberbbk,6,0.6999589800834656,your care american today access best read health that give
84,84,icymi i talked to mydesert about how congress will have to work together to pass a strong cir bill in the house httptconumbersyjnumbergevnumberc,2,0.8499709963798523,bill today week congress number country plan that news border
85,85,parents want to know their kids are in a safe place w qualified providers ccdbg is essential number childcareprotection httptcowxfvagfenumberl,7,0.8499729037284851,number that last health help your america today first would
86,86,should utah be forced by the epa to lower ozone levels below the naturally occurring level httptcoongfkqxokk utahpoliticohub utpol,1,0.6999722123146057,great that time obamacare number today health student american find
87,87,landrieu still has only about a numberinnumber chance of winning even when her incumbent status is included httptcodtcgthynvnumber lasen,8,0.4679435193538666,today help president great good obama live health work research
88,88,matthewwymt amp michellewymt stopped by my office earlier to talk about rxdrugabuse watch wymt at numberpm httptconumbertcnbgfca,0,0.6999879479408264,watch support your number town talk thank check that protect
89,89,so very sad to hear about the passing of jim ragsdale he was a true professional amp a kind soul jim you will be missed greatly,1,0.48807817697525024,great that time obamacare number today health student american find
90,90,balboa park is the only place in usa with number major cultural institutions win number sq mile arts ccrepsusandavis httptcoxggrkdinumberiv,7,0.8714160323143005,number that last health help your america today first would
91,91,photo joined worlds most interesting man from americas most interesting state landmines event on cap hill httptconumbercvbofvnlu,0,0.7749612927436829,watch support your number town talk thank check that protect
92,92,wri cong delegation mayors police tenygross amp families affected by guns to present unified voice on gun safety httptconumberenumbericsvoq,1,0.3670377731323242,great that time obamacare number today health student american find
93,93,congrats hanscomafb cied team their work on detecting amp destroying ieds earned the theodore von karman award httptconumberwoilnumberarpt,4,0.6999866962432861,work today they that number great would congress back must
94,94,since our spending has grown number while the median income has grown only number a difference of number httptcognumberqnumberbwi tcot,7,0.8714226484298706,number that last health help your america today first would
95,95,mandela chg south africa chg the world inspired hearts n minds of millions of us condolences to his family n south african people,3,0.8499823808670044,number that today obamacare obama join right school president your
96,96,got a mess of oysters and clams out on sound this morning these guys have a rendezvous with white wine fresh garlic shallots and pepper,1,0.5499711632728577,great that time obamacare number today health student american find
97,97,rt if you think america succeeds when womensucceed httptcoubqrhikuvg,7,0.4682403802871704,number that last health help your america today first would
98,98,tips for staying warm should you be outside this week helping clean after recent storms via the coal city courant httptcojnumberhwgekidp,5,0.8714091181755066,time week today that staff state meet community visit year
99,99,rt kevinscholla my interview wrepdavid schweikert on sarahnetradio huge meeting coming up wconstituents httptcopfnumberedknumberkxg û,9,0.5499701499938965,great forward number make today read your state take that
100,100,st robert community center number jh williamson dr in st robert number of number,7,0.8499739170074463,number that last health help your america today first would
101,101,joining robbhanrahancbs on face the state on cbsnumbernews around numberthis morning to talk about ebola httptcowcqgnumberkppfnumber,5,0.8499664664268494,time week today that staff state meet community visit year
102,102,in the hustle and bustle of the holidays and dont forget its also iron bowl week i know its easy to get distracted,2,0.8199669122695923,bill today week congress number country plan that news border
103,103,great to see johnerardi says ted kremer will be reds batboy tonight httptcombpmlauq,1,0.5499328970909119,great that time obamacare number today health student american find
104,104,celebrating usmc numberth bday at so nv marine corps ball largest nonactive duty ball in the world semper fi httptcofnumberdnumberaonfpl,2,0.6999427676200867,bill today week congress number country plan that news border
105,105,now is the time to balance the budget httptcoaaokhnumbergg,1,0.7749754190444946,great that time obamacare number today health student american find
106,106,welcome to senatebanking senjoemanchin elizabethforma senatorheitkamp tomcoburn amp sendeanheller look fwd to working with all of you,9,0.5499745607376099,great forward number make today read your state take that
107,107,april is sexual assault awareness month according to of sexual assaults are not reported to police standup saam,1,0.8499886989593506,great that time obamacare number today health student american find
108,108,house gop r focused on progrowth bills numberjobs itûªs time senatedems act on these bills so ppl can get back number work httptcodjssqxyurc,4,0.4842773973941803,work today they that number great would congress back must
109,109,kerrywashington congrats on ellemagazine cover so excited for you girlpower,0,0.5499903559684753,watch support your number town talk thank check that protect
110,110,sfrc hearing today at am et with secretary kerry watch live httptcoaynumberkznumberxnumberx,8,0.8199714422225952,today help president great good obama live health work research
111,111,for number mos the irs failed to tell congress they couldnt provide lerner emails my speech abt need for accountabilityhttptcospqnumberbnumberdnumbernw,4,0.6239867210388184,work today they that number great would congress back must
112,112,been discussing impact aid amp military students in mascoutah of students at mascoutah are affiliated w scottafb httptcoinumberprvghifl,8,0.6999313831329346,today help president great good obama live health work research
113,113,thanks to the pawnee county folks who turned out to the town hall meeting in larned these folks areû httptcosqsefnumberpnumbervl,0,0.6999422907829285,watch support your number town talk thank check that protect
114,114,theobserver editors agree the presidents admin earned their reputation for obfuscation amp disregard for failures httptcompotpnumberfwnumberk,0,0.10000000149011612,watch support your number town talk thank check that protect
115,115,its time the obama admin answer to the american people on benghazi four americans were murdered and no one has been held accountable,6,0.5201410055160522,your care american today access best read health that give
116,116,rep wilson commemorates the third anniversary of the earthquake with a call to action remember haiti httpt,4,0.7749457359313965,work today they that number great would congress back must
117,117,vets groups editorials democrats agree more funding äê more vaaccountability httptconumberinumberlxjxzac,0,0.10000000149011612,watch support your number town talk thank check that protect
118,118,looking for job help me help residents looking for a job participate in our roundtable on unemployment call my office at,8,0.7749804258346558,today help president great good obama live health work research
119,119,traveling numberth district spent tues speaking to fwhcc amp awarding ryan esplin the tdf foundation veterans scholarship httpstcojylqnqamwj,4,0.8199775815010071,work today they that number great would congress back must
120,120,great crowd at the town hall tonight thanks to all those who came out and asked questions httpt,1,0.47838884592056274,great that time obamacare number today health student american find
121,121,almost one year since the senate passed comprehensive immigration reform the timeisnow for the house to act httptcosesuknumberjjwg,5,0.7749863862991333,time week today that staff state meet community visit year
122,122,i am deeply concerned by and condemn the over rocket attacks launched by hamas against israel httptcocuanumberveknumberpq,0,0.5499594211578369,watch support your number town talk thank check that protect
123,123,rt uani the only vote that counts in the iranelection today that of the unelected supreme leader httptcoanumberacacqqrh,7,0.8713951110839844,number that last health help your america today first would
124,124,ladybigmac speakerboehner virginiafoxx reptomreed keithrothfus repkevincramer yep obama uses fed agencies against political opponents,3,0.5499354600906372,number that today obamacare obama join right school president your
125,125,gillespiernumber lets not make the same mistake in the future by appreciating fully what happened yes lets move forward but facts matter,9,0.8199867010116577,great forward number make today read your state take that
126,126,congratulations to sally jewell for being officially sworn in as the new interior secretary httpt,5,0.5499435663223267,time week today that staff state meet community visit year
127,127,our madeinwi economy is always cooking up something good check out madisoncolleges new culinary training center httptconumberlrccwwpp,8,0.5310125946998596,today help president great good obama live health work research
128,128,the faces of hunger are veterans children seniors and the disabled gopleader dont cut snap endhungernow httptcozvimyzinumberkc,9,0.5499488711357117,great forward number make today read your state take that
129,129,delco county council chairman tom mcgarrigle has declared a weatherrelated state of emergency,5,0.7749672532081604,time week today that staff state meet community visit year
130,130,today i held an autism round table at peaceful living in new britain great dialog between local groups in the httptcoqpfmevzmmnumber,1,0.4323139488697052,great that time obamacare number today health student american find
131,131,thanks onecampaign for visiting my st paul staff amp for all the great work you do fighting global poverty amp hunger httptcoxcsocfoewc,8,0.66339111328125,today help president great good obama live health work research
132,132,proddenergy heres the thing oil amp wind dont compete yet stabenow said this morning that wind needs to catch up,9,0.871406614780426,great forward number make today read your state take that
133,133,ill continue working for strong bipartisan comprehensive immigrationreform plan including dreamact w support of groups like ctnumberadream,0,0.5058628916740417,watch support your number town talk thank check that protect
134,134,need to find most effective ways to address this addiction crisis so that people like the griffins know where to go to get help,7,0.8874766826629639,number that last health help your america today first would
135,135,the president must never be able to make unilateral decisions about enforcing some laws but not others httptcocvaitnumberemnumberx,4,0.47579193115234375,work today they that number great would congress back must
136,136,president obama missed this yearûªs legal deadline to submit a budget to congress just like he has nearly every year of his presidency,3,0.90998375415802,number that today obamacare obama join right school president your
137,137,deltadivanumber one idea is to allow students to pay the same rate on govt loans as big banks which are currently about number askdems,4,0.5073328614234924,work today they that number great would congress back must
138,138,school shootings should not be our nations norm httptcovecosnumberersb,3,0.5499710440635681,number that today obamacare obama join right school president your
139,139,my stamement on the house passed appropriations bill httptcognumbervhsahfmnumber,2,0.5499861836433411,bill today week congress number country plan that news border
140,140,yesterday i shared janetûªs story on the house floor httptcosnumberkyrnumbertznumberf,0,0.10000000149011612,watch support your number town talk thank check that protect
141,141,sendancoats great movie,1,0.5499321222305298,great that time obamacare number today health student american find
142,142,honored to spend time with employees at boeing last night to celebrate their long history of service to our country httpt,2,0.8499768376350403,bill today week congress number country plan that news border
143,143,meeting with my friend governor perry this morning who is in town to address cpac,4,0.6675699353218079,work today they that number great would congress back must
144,144,tune in starting numberct for live video of uss north dakota christening ceremony httptcoxynmdjnumberjxnumber or httptcoyessjbsvtf,9,0.6999213695526123,great forward number make today read your state take that
145,145,today farmington ehartford willimantic thompson hartford manchester,5,0.6999457478523254,time week today that staff state meet community visit year
146,146,my sympathy and my prayers go out to the families of the victims and the quantico community,5,0.5499773025512695,time week today that staff state meet community visit year
147,147,we join together this month to commemorate black history month to honor the remarkable accomplishments and httptcosuekaznumbercrm,4,0.8199741244316101,work today they that number great would congress back must
148,148,ryanbudget hurts everyone in this country when it comes to medicare it hurts seniors on the program now and seniors in the future,2,0.6999765634536743,bill today week congress number country plan that news border
149,149,always great to see senator richard bryan homemeansnevada battleborn httptcoksbvjcadny,1,0.6999815702438354,great that time obamacare number today health student american find
150,150,at the antiochpolice numberth neighborhood cleanup working to keep antioch amp canumber clean httptcooxzgmnicjl,9,0.6999644637107849,great forward number make today read your state take that
151,151,number arkansas counties have been designated as federal disaster areas my statement httptconubelbgdft,7,0.549950361251831,number that last health help your america today first would
152,152,icymi usatoday on legislation i introduced to improve research for veterans struggling with gulf war illnesses httptcostynumberenumbertnumberb,8,0.6999673247337341,today help president great good obama live health work research
153,153,were running out of time to renew the highway trust fund its time to act httptcoqnumberodvjtpte httptcoyuinumberxofjoa,5,0.8199908137321472,time week today that staff state meet community visit year
154,154,athomepundit cr isnt good policy bc we cant adjust spending levels but its better than shutting down gov we shld return to regular order,2,0.7373321652412415,bill today week congress number country plan that news border
155,155,as obama talked abt infrastructure projects i heard a firsthand account of how delay of keystone negatively impacted business timenumberbuild,6,0.819935142993927,your care american today access best read health that give
156,156,enjoyed it ûïattyabdul good chat with replarrybucshon numberwibc up next mayorballardû,8,0.699974000453949,today help president great good obama live health work research
157,157,letûªs thank our veterans number their service sacrifice ceremony parade picnic tue nov number numberam httptcomqhlrnumberwzey,7,0.7749612927436829,number that last health help your america today first would
158,158,i hope senate dems will seriously consider this amdt amp will not throw our veterans amp unemployed under the bus httpt,6,0.5499144792556763,your care american today access best read health that give
159,159,admin reached deal w the man who bragged of advancing nukes prgrm thru deception i remain skeptical nkorea all over again,5,0.6999757885932922,time week today that staff state meet community visit year
160,160,breaking the silence on the irs outrage httptcobxnumberadwunumbero via newyorkobserver irstargeting,0,0.10000000149011612,watch support your number town talk thank check that protect
161,161,going to be talking w golfchannel about memorialtournament and my efforts for congressional gold med for goldenbear jack nicklaus,6,0.5499448180198669,your care american today access best read health that give
162,162,rt washingtonpost a transcript of president obamas speech httptcodnumberinumberrtnumberwpd marchonwashington,6,0.6999258995056152,your care american today access best read health that give
163,163,mt yubasutterarts do you know a student who wants hisher art displayed at the us capitol httptcoreyuuvxuix,1,0.506005048751831,great that time obamacare number today health student american find
164,164,senrandpaul deserves an answer from obama admin questions abt use of force on us citizens in ushttptcoxbnumberrkjywcu,3,0.5499354600906372,number that today obamacare obama join right school president your
165,165,great to meet horizonbeverage employees so glad to have them working in nh httptcovmtanumberdwanumberu,5,0.6999302506446838,time week today that staff state meet community visit year
166,166,today the house voted in favor of the national flood insurance fund this protects over isaac claim payments from being delayed too,4,0.819970965385437,work today they that number great would congress back must
167,167,apropiado q maduro ortega juntos en nicaragua ambos manipuladores d elecciones venezuela nicaragua necesitan elecciones libres,0,0.10000000149011612,watch support your number town talk thank check that protect
168,168,have a great labor day weekend indy safe travels to you and your family i hope to see you out and about in the district,9,0.6814351677894592,great forward number make today read your state take that
169,169,dwaynebenji thank you so much dwayne,0,0.699948251247406,watch support your number town talk thank check that protect
170,170,rt perkasieborough due to the extreme flooding callowhill street from numberrd to walkers way is currently closed httptconumbergdtkqbpez,2,0.54998379945755,bill today week congress number country plan that news border
171,171,senator obama debates president obama httptvia wtcommunities,8,0.77497398853302,today help president great good obama live health work research
172,172,its our job to pass laws not give favors to foreign oil corporations keystonehttptcobnhvondflz,9,0.774949848651886,great forward number make today read your state take that
173,173,at the numberrd annual foothills homeless veterans stand down thank you to the over volunteers forû httptcodrninumbernnumberenumber,0,0.8199714422225952,watch support your number town talk thank check that protect
174,174,thanks again to algore for making the time to speak at eedayri and icymi here is the video of his speech httptcohnumberoginumbergjnumbera,1,0.6999657154083252,great that time obamacare number today health student american find
175,175,was glad to welcome jason smith to congress and witness his swearing today he is an outstanding leader who will represent monumber well,4,0.8199679255485535,work today they that number great would congress back must
176,176,etdisclosure i got your message,6,0.5499560236930847,your care american today access best read health that give
177,177,great to be at nnedv breakfast to support efforts to end domestic violence httptcocpdvunumberfynumber,1,0.7749567031860352,great that time obamacare number today health student american find
178,178,tbt president fdr signed socialsecurity act into law otd in number itûªs up to us to preserve amp protect it now httptcobnumberyybxsnumberug,3,0.7749525308609009,number that today obamacare obama join right school president your
179,179,my thoughts and prayers are with those affected by the recent storms in the us,4,0.5499826669692993,work today they that number great would congress back must
180,180,a gopshutdown will mean the sbagov will stop processing loans to american smallbusinesses enoughalready,7,0.7749411463737488,number that last health help your america today first would
181,181,live on dennisdmz today at numbernumberp et dennis out today christiandmz guest hosts listen live httptcokoyymodnumberky,8,0.8199772834777832,today help president great good obama live health work research
182,182,rt ncfarmbureau farmbill voted out of senate ag committee yesterday now house ag committee on schedule to vote their version tonight,7,0.5499216914176941,number that last health help your america today first would
183,183,rt jinsider kosher restaurant caters to a new newark njjn httptcownumbergnvnumberoyanumber corybooker,0,0.10000000149011612,watch support your number town talk thank check that protect
184,184,exofficial claims clinton allies scrubbed benghazi docs in secret sessions httpt,1,0.6999778151512146,great that time obamacare number today health student american find
185,185,delaney oped in washington post debt prioritization not rooted in financial reality bad for nationûªs standing httptcobunumberljnumbernbyc,1,0.8199747800827026,great that time obamacare number today health student american find
186,186,livingrights thanks so much for checking in all is going well in this vegan journey,4,0.6999743580818176,work today they that number great would congress back must
187,187,headed to whitehouse for the signing of bipartisan worker training bill to modernize our workforce development system wioa,0,0.8499693870544434,watch support your number town talk thank check that protect
188,188,tune in sec kerry is testifying about syria before the hascrepublicans watch httptconumberzzhknjconumber,7,0.4056064784526825,number that last health help your america today first would
189,189,the gop proposal sets no cap on interest rates amp could cost students thousands of extra dollars dontdoublemyrate httptcomiiqmrqnumberuj,9,0.819980263710022,great forward number make today read your state take that
190,190,we are running late heading there now the mayor vs me rt theclimatehawk we showed up at the showdown watch out for hole number,0,0.8199645280838013,watch support your number town talk thank check that protect
191,191,congrats to southwestair number yrs ago numberst flights out of dallaslovefield we luv having you serve txnumber via ccintairport amp austinairport,7,0.5499525666236877,number that last health help your america today first would
192,192,via cnn ûïdemocratic senator asks obama to delay obamacare deadlineû httptcotvbzbsaunumber fairnessforall,3,0.7749568223953247,number that today obamacare obama join right school president your
193,193,did you know i am on instagram check it out and follow me httpthttptconumbermlezznumbervcy,1,0.4791068434715271,great that time obamacare number today health student american find
194,194,joined by colleague congresswoman tulsi gabbard at celebrity charity classic httptconumberqnzegkrpv,0,0.10000000149011612,watch support your number town talk thank check that protect
195,195,join me senwarren mayortommenino amp rep capuano at faneuil hall boston today at numberam demandaction nomorenames httptcoqnumberulwnumberlgmnumber,3,0.6999552845954895,number that today obamacare obama join right school president your
196,196,excellent please rt wsj it was not the declaration of independence that gave us freedom but the continental army httptcodgmskowzva,7,0.7749674916267395,number that last health help your america today first would
197,197,but i remain concerned about the denial and insensitivity expressed in his initial response,5,0.5499764680862427,time week today that staff state meet community visit year
198,198,todayûªs supreme court action continues the march of progress towards marriageequality for all httptcolnumberphswcfy numberstatestogo,7,0.8199416399002075,number that last health help your america today first would
