,headline_text,clean,sensational_score
16.0,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,mccain oppos requir govern buy american made motorcycle said buy american proves quot disgrace,0.09192661170091543
17.0,"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",u rep ron kind wi fellow democrat went spend spree credit card max,0.008734760426237331
18.0,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",water rate manila philippic rais percent subsidiary world bank became partial owner,0.08027230688112863
19.0,"Almost 100,000 people left Puerto Rico last year.",almost peopl left puerto rico last year,0.038294595500423245
20.0,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,woman men make le adjust inflate john kitab first elect governor,0.056312540455324855
21.0,The United States has the highest corporate tax rate in the free world.,unit state highest torpor tax rate free world,0.03174677006340709
22.0,We just had the best year for the auto industry in America in history.,best year auto industry america histori,0.061931661942435934
23.0,"Says Scott Walker favors cutting up to 350,000 families and children off health care.",say scott walker favor cut famili child health care,0.05560915945542799
24.0,Says Mitt Romney wants to get rid of Planned Parenthood.,say mitt romney want get rid plan parenthood,0.042266449190756394
25.0,I dont know who (Jonathan Gruber) is.,dont know jonathan grubber,0.0
26.0,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,hate crime american muslim mosque trial pari san bernardino,0.0858806860895337
27.0,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,rick peri never lost elect remain person text governorship three time landslide elect,0.06766000940304429
28.0,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.",isi support tweet shoot began chattanooga tenn,0.013487735481333418
29.0,Youth unemployment in minority communities is about 40 to 45 percent.,youth unemploy minor community percent,0.038422284143708185
30.0,Says Paul Ryan is still endorsing Trump.,say paul ryan still vendors trump,0.05902219737682901
31.0,"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.",look state right work constant budget deficit good busi climat,0.07697922542191304
32.0,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,obama administr go come next sever month your even go abl burn coal limit exist plant,0.07598001983262093
33.0,We cut business taxes so today 70 percent of our businesses dont pay a business tax.,cut busi tax today percent busi dont pay busi tax,0.08371063873730678
34.0,Says Mark Pryor votes with Obama 93 percent of the time.,say mark prior vote obama percent time,0.04558578317491979
35.0,We have a federal government that thinks they have the authority to regulate our toilet seats.,feder govern think author regul toilet seat,0.03559474772829774
36.0,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,austin citi basic doubl size every year sinc found,0.060271294521402785
37.0,"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",nuclear test conduct nation time earth th nuclear test five german member u n secur council conduct percent total nuclear test,0.10356960397296922
38.0,"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.",case catastrophe event atlanta area offic center diseas control prevent self destruct,0.04656623660855608
39.0,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",presid george w bush ad trillion debt presid obama weve ad trillion debt,0.08893116652014799
40.0,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,say u supreme court justic suggest u case decid base south african law,0.054976682412305355
41.0,Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,say marco rubio skip defens vote includ one arm turd fight isi,0.044161970023921304
42.0,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company",rep david chillin respons feder loan guarantee solyndra fail solar company,0.07452300976815396
43.0,Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,say ohio budget item later sign law gov john kasih requir woman seek abort undergo mandatory vain probe,0.06809864106320518
44.0,We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,director homeland secur use use term terrorist attack instead substitute man made disas,0.09319874661781002
45.0,African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,african american youth unemploy percent hispana youth unemploy percent,0.07154214017124683
46.0,"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.",obamacare provid insur non u resid even iller,0.04383438986440935
47.0,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,presid barack obama took exact none deficit reduce commits idea one,0.019386236706862903
48.0,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,barack obama hillary clinton chang rule engag probably cost capt human khan life,0.05635485903036819
49.0,Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,hillary clinton co sponsor legis would jail flag burner,0.12613898603192275
50.0,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,say paperback edit mitt romney book delete line massachusetts individu mandat model country,0.058398792919398534
51.0,"Maggie Hassan raised tuition, making it the highest in America.",magi hassan rais tuition make highest america,0.056592734355318974
52.0,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,say terri mcauliff person invent scheme rent lincoln bedroom,0.0
53.0,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",creat new job cut unemploy rate almost half today new york state privat sector job ever histori,0.0846296782621464
54.0,"We have towns in West Texas that are out of water, that are having to truck in water.",town west text water truck water,0.09747486976935815
55.0,"In Georgia, women earn 82 cents for every dollar earned by men.",georgia woman earn cent every dollar earn men,0.041855586757075125
56.0,A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,feder system verify employe author work u incur anywhere percent way excess percent time,0.06196671360485728
57.0,"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.",go build wall ago long ago like couldnt get environment impact statement,0.04730081170536593
58.0,Sen. Obama's campaign announced that he's choosing his cabinet.,sen obama campaign announc choos cabinet,0.05600886482281775
59.0,"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.",percent latino text resist vote percent actual turn,0.08153613110155233
60.0,Only 2 percent of public high schools in the country offer PE classes.,percent public high school country offer pe class,0.017306414843683338
61.0,"Said he's the only Republican candidate ""who's actually turned around a government economy.""",said republican candid actual turn around govern economi,0.0782968828540237
62.0,"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""",military recruit harvard elena kagan took posit supreme court rule unani wrong,0.08786785475276393
63.0,"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.",public school teacher text non teacher public school,0.03946474974056813
64.0,"Under Mayor Cicilline, [Providence] was a sanctuary city.",mayor chillin provid sanctuary citi,0.04751188313685395
65.0,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,transcend individu u chanc murder,0.03572350137771285
66.0,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.",bain capit help start early childhood learn company call bright horizon first ladi michelle obama right praise,0.024297787640108814
67.0,"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.",say man rush stage dayton ohio chatter isi isi social medium post,0.0
68.0,U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.,u rep phil gingery gave govern power electron spi american without warrant,0.03255327930084606
69.0,Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.,alex sink funnel three quarter million dollar bid contract bank america,0.0716864330481215
70.0,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",take popul growth virginia net zero job creation sinc bob mcconnell became governor,0.11098000440474798
71.0,"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.",obama home valu florida collapse construct job lost state high foreclosure rate,0.018827408241841037
72.0,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""",new arizona immigra law say polic offic stop anyone appear reason suspect undock person,0.058700341346560325
73.0,The only time in our history when the debt has been higher than this was the end of World War II.,time histori debt higher end world war ii,0.043390989738480434
74.0,The cost of health care is now the single-biggest factor driving down the federal budget deficit.,cost health care singl biggest factor drive feder budget deficit,0.047186023392836285
75.0,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.",recess consum native servers begun save save rate percent,0.006318026031497115
76.0,On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,whether u supreme court nomine forthcom confirm hear,0.03619047293738564
77.0,Says one out of three U.S. homeless men is a veteran.,say one three u homeless men veteran,0.04310033984929429
78.0,Says Charlie Crist supports cuts to the Medicare Advantage program.,say charlie crist support cut medical advantage program,0.01107243485484033
79.0,I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,think accept chines today larger wind power solar panel photovoltaic manufactur euro put togeth forget unit state,0.06661771503931668
80.0,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,say scott brown co sponsor legis let employ deny woman coverage birth control,0.07451230796544384
81.0,"At some point in their lives, 99% of women use birth control.",point life woman use birth control,0.05870800770047513
82.0,"In the past 20 years, Egypt has made great strides in political and democratic reform.",past year egypt made great stride polit democrat reform,0.03259224315080589
83.0,The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,amount attent paid week chris christi make coverage bengali pale significa,0.05641655597195039
84.0,Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,say u rep steve sutherland vote keep shutdown go,0.036888375274698904
85.0,"In Rick Perrys Texas, we import nurses ... from other countries.",rick peri text import nurse country,0.030203551163834996
86.0,There is a federal criminal law that says its a crime to transport dentures across state lines.,feder crimini law say crime transport denture across state line,0.08240833710269302
87.0,We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,built new prison every day keep mass scarcer expos nonoil offend,0.019362707853873506
88.0,"Sen. McCain's tax plan provides ""virtually nothing to the middle class.""",sen mccain tax plan provid virtual noth middle class,0.06955279032996031
89.0,Austin is burdened by the fastest-growing tax increases of any major city in the nation.,austin burden fastest grow tax increas major citi nation,0.06143609998904154
90.0,"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.",phoenix arizona kidnap capit world,0.022570398288881632
91.0,I belong to the AFL-CIO.,belong afl cio,
92.0,The insurance commissioner cant do squat about health care.,insur commission cant squat health care,0.08781330179125357
93.0,Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,say poll found republican candid could beat barack obama text eight point,0.04574629065246927
94.0,"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon.",presid ronald reagan sent troop conflict one circuit grenade peacekeeper set lebanon,0.06771872145093805
95.0,Says David Jolly supports privatizing Social Security.,say david jolly support privat social secur,0.012742210572978752
96.0,Did you know US population growth is at its lowest since the Great Depression?,know u popul growth lowest sinc great depress,0.033789694613863164
97.0,"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.",averag student florida actual pay pocket major univers tuition much le spend cellphone,0.0814395082735957
98.0,"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",sinc american die gunfire die war country histori,0.02412467745125646
99.0,A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.,foreclosure tax would take effect could mean high tax bill face foreclosure million famili modify mortgage short sale lender,0.059620876148455126
100.0,The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,florida depart agriculture websit freshfromflorida com use get permit carry load hidden gun without ever leav hous,0.040202924288302744
101.0,"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.",atlanta streetcar expect creat job construct total job next year,0.07296786744376205
102.0,"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.",rais minimum wage hour would help lift million american poverty,0.026458454722649183
103.0,"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.",say secretary state john kerry sent flew manapua met communist dictat daniel omega accus reagan administr engag terror,0.03579734350705788
104.0,"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.",nato open major terror divis im sure im go get credit larg say critic nato,0.06711317293943853
105.0,Sen. Obama has always had a 100 percent prochoice rating.,sen obama alway percent prochoice rate,0.06114379635574785
106.0,"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.",sinc gina raymond took offic invest fee state pension portfolio gone million annual million,0.03643949535955526
107.0,The (federal) debt is growing by more than $4 billion a day.,feder debt grow billion day,0.029616345184191317
108.0,"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.",presid barack obama job bill state would longer lay teacher firefight polic offic,0.05726521283255914
109.0,"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.",teacher k teacher today year old,0.024079574051777852
110.0,Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,two third wisconsin receiv unemploy check requir search work due current work search exempt,0.06334147371513343
111.0,"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.",presid obama health care reform premium averag plan famili didn go per year gone per year,0.08026505241372395
112.0,"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.",ir also investig liber group group progress name ir basic look everybody,0.03830722277010712
113.0,Says Obama promised unemployment would never go above 8 percent.,say obama promis unemploy would never go percent,0.07562123214039163
114.0,The economy is creating jobs at the fastest pace since 1999.,economi creat job fastest pace sinc,0.022045774338620427
115.0,President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.,presid obama decid meet prime minis benjamin netanyahu new york,0.03769799928223683
116.0,"In a majority of states, you can now marry freely, but can still be fired for who you love.",major state marri freely still fire love,0.01610579710130644
117.0,Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.,say oregon rep peter defacto earl blumenau socialist open serv u congress,0.0
118.0,"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""",rude giuliani probably underqualified man sinc george bush seek presid,0.03578634833235006
119.0,"About half of the presidents have been governors; half of them, senators.",half presid governor half sent,0.029926409569042023
120.0,"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.",britain vote leav european union within hour american lost billion k,0.026918326661520497
121.0,"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.",medicaid spend decline percent second decline year,0.0055950717283530516
122.0,Says 88 Texas constables have died in the line of duty.,say text constable die line duty,0.061487784938744294
123.0,"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.",gov rick scott cut cost prepaid college tuition near,0.06276113690870133
124.0,"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.",citi columbus would save million year employe contribut guarantee check pension,0.07224355704616703
125.0,"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.",florida cfo shut kraken scam refund million joseph victim con man,0.015358791107817016
126.0,You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.,woman get comput science degre factor plus,0.06306843506341564
127.0,The Air Force wants taxpayers to fund a fantasy football league.,air forc want taxpayer fund fantasy footbal leagu,0.061977885286781165
128.0,Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.,barack hussein obama forc court accept islam sharia law domes dispute,0.07665156874338086
129.0,About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,percent murder crime commit gun peopl actual legal purchas gun,0.09244798700204249
130.0,Some neighborhood schools are closing.,neighborhood school close,0.041231467812991474
131.0,He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.,told gay organ massachusetts would stronger adhoc special right even ted kennedy,0.028327521359301167
132.0,"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.",year speaker florida hous consist offer leaner budget governor offer,0.03362389593576476
133.0,"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.",already almost halfway goal creat new job seven year,0.056557571311721566
134.0,Says the U.S. Supreme Court found that Social Security is not guaranteed.,say u supreme court found social secur guarantee,0.06417082318766065
135.0,SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,saysmichael bonnet want close guantanamo bay prisoned bring terrorist right colorado,0.052276150690713896
136.0,Oregonians have an amazing no-cost way to fight abortion with free political donations,gorgonian amaze cost way fight abort free polit donate,0.0512531126557535
137.0,"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.",presid said he go bring syrian iraqi refuge country,0.07931841940063822
138.0,"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.",research show vast major arrive immigra today come believ govern source prosper that support,0.036982445604240244
139.0,Newt Gingrichs immigration plan offers a new doorway to amnesty.,newt gingrich immigra plan offer new doorway amnesty,0.08008205117740608
140.0,Mr. Caprio is a career politician who has never worked in the private sector.,mr capris career politician never work privat sector,0.0508375869807105
141.0,"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.",rode island percent worker use state temporary disable insur program year new jersey rate percent,0.07703845496423345
142.0,"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!",year spend social secur feder health care interest debt exceed tax revenu,0.048572614750009624
143.0,President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.,presid obama took money wall street campaign anybody ever,0.09077268747416412
144.0,Donald Trump has said nuclear proliferation is OK.,donald trump said nuclear prolife ok,0.04285648610947135
145.0,"Hillary Clinton has taken over $800,000 from lobbyists.",hillary clinton taken lobbyist,0.02387314556107023
146.0,Barack Obama has never even worked in business.,barack obama never even work busi,0.07224260189864706
147.0,Says the Arizona immigration law expressly bans racial profiling.,say arizona immigra law expressly ban racial profil,0.035909670333370336
148.0,Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,say gov rick peri beg feder govern send coast guard patrol two lake u mexico border,0.05404260081090495
149.0,"On the VA: Over 300,000 veterans have died waiting for care.",va veteran die wait care,0.007158270900617381
150.0,Were now spending 42 percent of our economy on government.,spend percent economi govern,0.011034642277149787
151.0,Rob Cornilles supports privatizing Medicare.,rob cornell support privat medical,0.02737275296686492
152.0,"In 2005, Dan Branch tried to expand third-trimester abortions in Texas.",dan branch tri expand third trimmest abort text,0.08835584081006975
153.0,We (Democrats) have made steady progress creating jobs and improving our schools.,democrat made steady progress creat job improv school,0.054309437752113054
154.0,Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.,michigan massachusetts rais bottle deposit could longer afford program exempt high profit,0.04117711337718588
155.0,"Whether you like to admit it or not, half our general revenue goes to education.",whether like admit half general revenu go educ,0.07161093692826181
156.0,Im the only one whos fought against developers draining the Everglades!,im one who fought develop drain everglades,0.019865979601415118
157.0,Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.,say ron johnson call social secur ponzi scheme want privat program,0.023624934030335942
158.0,"There are 31 other states and 10,000 other cities that have the same type of policies that we just passed, referring to North Carolinas House Bill 2.",state citi type police pass refer north carolina hous bill,0.03656100990013056
159.0,Climate change is directly related to the growth of terrorism.,climat chang direct relat growth terror,0.07259184519167061
160.0,The jobs bill includes President Obamas tax on soup kitchens,job bill includ presid obama tax soup kitchen,0.05163097325025401
161.0,Says the Obama administration spent taxpayer dollars on electric cars in Finland (and) windmills in China.,say obama administr spent taxpayer dollar elect car finland windmill china,0.09422384321855637
162.0,While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed.,sarah mayor pasilla tri fire high respect citi librarian librarian refus consid remov library book sarah want remov,0.06958244270284109
163.0,"If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50, the city would have 23 different bicycle violations that have a higher forfeiture.",milwaukee approv reduc maximum forfeiture marijuana possess citi would differ bicycle violate higher forfeiture,0.10031562905312852
164.0,We have more illegal immigrants here than we did five years ago.,iller immigra five year ago,0.013071810780848625
165.0,Says Rick Perry wrote a letter supporting Hillarycare.,say rick peri wrote letter support hillarycar,0.04452137837518888
166.0,The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.,u patent trademark offic receiv zero complaint washington redskin name,0.043697534340782274
167.0,"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.",presid health care propos caus american premium increas decrease hundi million peopl lose current insur coverage,0.05717546428743592
168.0,(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.,mexican immigra law abid u citizen statist,0.04221785060918881
169.0,Says Chris Christie vetoed a jobs package of 30 bills.,say chris christi veto job packag bill,0.051451918375515326
170.0,There are already more American jobs in the solar industry than in coal mining.,already american job solar industry coal mine,0.04305516189247327
171.0,Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.,say illinois gubernatorial candid bill braid first priority win primary sponsor bill would mass ethan shelter dog cat gas chamber,0.060011993904210525
172.0,Barack Obama is in an economy thats only worsened since hes been president of the United States.,barack obama economi that worsen sinc he presid unit state,0.014463172339044483
173.0,"Romney failed to take action against ""sanctuary cities"" in Massachusetts.",romney fail take action sanctuary citi massachusetts,0.05424400135066498
174.0,"Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months.",say new jersey near job pre recess peak gov chris christi new jersey trail rest america come unemploy connect month,0.06354597158427022
175.0,Says Thomas Eric Duncan came into the United States with an elevated temperature.,say thomas eric duncan came unit state lev temperature,0.011151993466905097
176.0,We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history.,afghanistan longer foreign land conduct war nation histori,0.030360374296409365
177.0,Gas prices have gone up $2 since Obama took office.,gas price gone sinc obama took offic,0.020236737299251906
178.0,Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.,webster sponsor bill creat form marriage would trap woman abus relationship,0.08882240449297796
179.0,Says judges get better benefits at a lower cost than everybody else in the state.,say judg get better benefit lower cost everybody els state,0.06720872294863778
180.0,There are a lot of casinos across the country that have gone bankrupt.,lot casino across country gone bankrupt,0.032341078675851787
181.0,Small businesses create 70 percent of the jobs in America.,small busi creat percent job america,0.08126892464597035
182.0,"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform",senior coverage medical advantage give share health care reform,0.07116375159422927
183.0,"Over 12,000 school kids were arrested in Florida. It makes Florida the nations leader in that area.",school kid arrest florida make florida nation leader area,0.04871513538548744
184.0,If Texas were a country our economy would rank # 10...in the WORLD.,text country economi would rank world,0.04385973627340933
185.0,There are more oil rigs in operation in the United States than the rest of the world combined.,oil rig oper unit state rest world combin,0.02988866498628273
186.0,"Payday lenders profit from the poor by charging 1,000-plus percent interest.",payday lender profit poor charg plus percent interest,0.021143055598311977
187.0,"The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned.",social secur trust fund sound without anoth done would function well even time chang could pay percent benefit peopl earn,0.10925215186622195
188.0,It is a commitment voters take very seriously: The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday.,commit voter take serious income ohio break pledge vote ted strickland incom tax hike defeat sound tuesday,0.026383254611917484
189.0,The Obama administration shut down the Amber Alert program because of the government shutdown.,obama administr shut amber alert program govern shutdown,0.009363126193031146
190.0,The Republicans have 2 percent of the Muslim vote.,republican percent muslim vote,0.030881682749411055
191.0,"[W]e see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!",w e see america prison popul explode america greater percentage peopl behind bar nation world,0.06954899792726599
192.0,"Says that in a hearing, Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army put more emphasis on less environmentally damaging methods, like stabbing or clubbing enemy forces in order to minimize the carbon output.",say hear rep gabriel afford suggest gen david petrels army put emphasis le environment damag method like stab club enemy forc order minim carbon output,0.07922622925137213
193.0,"Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015.",every singl one republican sent block rais minimum wage receiv cost live adjust januari,0.05403332324144383
194.0,"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose.",text name new male babi mani vote one day jose,0.05492876163600591
195.0,Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.,marco rubio vote author presid obama strike syria assay use chemin weapon peopl,0.042736452835228866
196.0,"Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500.",cash clunker program got go local junkyard got tow hous go get,0.04661929333946602
197.0,Not one Republican has the guts to recognize that climate change is real.,one republican gut recon climat chang real,0.013047515163229106
198.0,"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.",peopl work longer hour lower wage almost new incom go top percent,0.08555989989706414
199.0,David Dewhurst has a record of promoting an income tax.,david dewhurst record promot incom tax,0.035716367988128384
200.0,Point Pleasant Beach does not own its beaches; they are privately owned and operated by businesses such as Jenkinsons,point pleasant beach beach privat own oper busi jenkins,0.03333716066918868
201.0,"In the past year, more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldn't be there.",past year percent american chang mind war afghanistan conclude,0.05012742916893964
